Area_Name,Year,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs,Total
ARUNACHAL PRADESH,2007,96,0,0,0,84,10,96,2,288
ARUNACHAL PRADESH,2008,84,0,14,0,62,0,84,8,252
ARUNACHAL PRADESH,2009,118,0,24,0,84,2,118,8,354
ARUNACHAL PRADESH,2010,94,0,20,0,68,2,94,4,282
ASSAM,2001,1634,4,146,490,740,238,1634,16,4902
ASSAM,2002,1940,0,0,6,1242,692,1940,0,5820
ASSAM,2003,2190,6,10,0,1654,520,2190,0,6570
ASSAM,2004,2342,28,0,0,1714,586,2342,14,7026
ASSAM,2005,2476,30,68,74,1694,572,2476,38,7428
ASSAM,2006,2488,4,42,64,1784,578,2488,16,7464
ASSAM,2007,2874,28,0,80,1796,970,2874,0,8622
ASSAM,2008,2876,42,10,40,1698,1082,2876,4,8628
ASSAM,2009,3262,28,12,6,2460,754,3262,2,9786
ASSAM,2010,3442,20,18,58,2232,1112,3442,2,10326
BIHAR,2001,1776,0,30,396,1124,224,1776,2,5328
BIHAR,2002,2080,0,4,4,1610,462,2080,0,6240
BIHAR,2003,1970,0,2,2,1372,592,1970,2,5910
BIHAR,2004,2780,12,6,0,2036,726,2780,0,8340
BIHAR,2005,2294,0,12,4,1744,534,2294,0,6882
BIHAR,2006,2464,18,0,34,1912,500,2464,0,7392
BIHAR,2007,3110,0,56,158,2372,506,3110,18,9330
BIHAR,2008,2604,48,22,160,2056,318,2604,0,7812
BIHAR,2009,1858,0,38,64,1530,202,1858,24,5574
BIHAR,2010,1590,0,34,178,1232,130,1590,16,4770
CHANDIGARH,2001,36,0,16,8,8,6,38,0,112
CHANDIGARH,2002,36,0,8,2,18,6,36,2,108
CHANDIGARH,2003,36,0,2,10,14,4,36,6,108
CHANDIGARH,2004,38,0,10,6,10,2,38,10,114
CHANDIGARH,2005,66,0,8,20,10,14,66,14,198
CHANDIGARH,2006,38,0,4,12,8,8,38,6,114
CHANDIGARH,2007,44,0,6,4,22,6,44,6,132
CHANDIGARH,2008,40,0,6,14,14,2,40,4,120
CHANDIGARH,2009,58,0,16,20,16,0,58,6,174
CHANDIGARH,2010,62,0,16,8,30,0,62,8,186
CHHATTISGARH,2001,1918,8,382,436,768,274,1918,50,5754
CHHATTISGARH,2002,1984,22,262,50,1304,294,1984,52,5952
CHHATTISGARH,2003,1796,10,194,124,752,662,1796,54,5388
CHHATTISGARH,2004,1938,18,122,466,852,452,1938,28,5814
CHHATTISGARH,2005,1980,32,224,510,784,400,1980,30,5940
CHHATTISGARH,2006,1990,54,208,632,674,366,1990,56,5970
CHHATTISGARH,2007,1964,26,234,438,1000,202,1964,64,5892
CHHATTISGARH,2008,1956,6,160,614,776,352,1956,48,5868
CHHATTISGARH,2009,1952,18,454,174,920,226,1952,160,5856
CHHATTISGARH,2010,2024,32,174,542,848,380,2024,48,6072
DADRA & NAGAR HAVELI,2001,12,0,0,6,6,0,12,0,36
DADRA & NAGAR HAVELI,2002,8,0,2,2,2,0,8,2,24
DADRA & NAGAR HAVELI,2003,2,0,0,0,2,0,2,0,6
DADRA & NAGAR HAVELI,2004,14,0,0,0,12,2,14,0,42
DADRA & NAGAR HAVELI,2005,10,0,0,0,10,0,10,0,30
DADRA & NAGAR HAVELI,2006,12,0,2,4,2,0,12,4,36
DADRA & NAGAR HAVELI,2007,14,0,4,8,0,0,14,2,42
DADRA & NAGAR HAVELI,2008,12,0,2,4,6,0,12,0,36
DADRA & NAGAR HAVELI,2009,8,0,4,0,4,0,8,0,24
DADRA & NAGAR HAVELI,2010,6,0,2,2,0,0,6,2,18
DAMAN & DIU,2001,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2002,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2003,10,0,0,6,0,0,10,4,30
DAMAN & DIU,2004,2,0,0,2,0,0,2,0,6
DAMAN & DIU,2005,4,0,2,0,0,2,4,0,12
DAMAN & DIU,2006,6,0,0,0,4,0,6,2,18
DAMAN & DIU,2007,2,0,0,0,2,0,2,0,6
DAMAN & DIU,2008,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2009,2,0,0,0,0,0,2,2,6
DAMAN & DIU,2010,2,0,0,0,0,0,2,2,6
DELHI,2001,762,0,162,308,118,82,766,96,2294
DELHI,2002,806,0,108,104,434,98,814,70,2434
DELHI,2003,980,0,100,152,642,34,980,52,2940
DELHI,2004,1102,0,252,154,564,12,1102,120,3306
DELHI,2005,1316,4,240,110,808,50,1332,120,3980
DELHI,2006,1246,4,222,534,310,42,1252,140,3750
DELHI,2007,1196,2,188,456,358,48,1204,152,3604
DELHI,2008,932,12,190,270,266,60,940,142,2812
DELHI,2009,938,2,144,376,282,40,938,94,2814
DELHI,2010,1014,2,158,348,336,68,1014,102,3042
GOA,2001,24,0,14,2,0,2,24,6,72
GOA,2002,24,0,6,6,8,2,24,2,72
GOA,2003,62,0,18,16,14,4,64,12,190
GOA,2004,74,0,14,10,24,10,74,16,222
GOA,2005,40,0,8,14,8,2,40,8,120
GOA,2006,42,2,8,18,10,2,42,2,126
GOA,2007,40,0,8,14,8,2,40,8,120
GOA,2008,60,4,12,22,14,6,60,2,180
GOA,2009,94,0,22,42,30,4,100,2,294
GOA,2010,72,4,10,28,22,0,72,8,216
GUJARAT,2001,572,0,46,174,250,72,572,30,1716
GUJARAT,2002,534,0,32,86,352,34,536,32,1606
GUJARAT,2003,472,0,34,92,286,26,472,34,1416
GUJARAT,2004,678,4,54,114,388,94,678,24,2034
GUJARAT,2005,648,0,56,88,436,32,648,36,1944
GUJARAT,2006,708,2,60,124,426,56,708,40,2124
GUJARAT,2007,632,2,60,102,360,74,634,36,1900
GUJARAT,2008,748,2,54,114,434,114,748,30,2244
GUJARAT,2009,866,2,54,100,616,64,866,30,2598
GUJARAT,2010,816,4,56,106,522,84,816,44,2448
HARYANA,2001,796,6,124,250,268,80,796,68,2388
HARYANA,2002,722,2,98,12,474,78,722,58,2166
HARYANA,2003,706,0,10,140,496,56,706,4,2118
HARYANA,2004,772,0,4,40,630,94,772,4,2316
HARYANA,2005,922,12,68,194,362,286,922,0,2766
HARYANA,2006,1216,10,44,306,752,102,1216,2,3648
HARYANA,2007,976,6,52,158,644,82,976,34,2928
HARYANA,2008,1262,10,44,76,990,122,1262,20,3786
HARYANA,2009,1206,6,54,140,860,108,1206,38,3618
HARYANA,2010,1440,10,46,160,962,254,1440,8,4320
HIMACHAL PRADESH,2001,248,4,30,86,70,18,248,40,744
HIMACHAL PRADESH,2002,274,8,10,32,142,72,274,10,822
HIMACHAL PRADESH,2003,252,0,28,50,112,46,252,16,756
HIMACHAL PRADESH,2004,306,10,22,34,136,96,306,8,918
HIMACHAL PRADESH,2005,282,4,34,60,126,36,282,22,846
HIMACHAL PRADESH,2006,226,2,18,54,132,8,226,12,678
HIMACHAL PRADESH,2007,318,4,38,92,116,46,318,22,954
HIMACHAL PRADESH,2008,314,2,32,88,136,40,314,16,942
HIMACHAL PRADESH,2009,366,0,32,110,168,32,366,24,1098
HIMACHAL PRADESH,2010,320,2,32,96,134,40,320,16,960
JAMMU & KASHMIR,2001,338,0,48,82,168,40,338,0,1014
JAMMU & KASHMIR,2002,384,2,0,14,280,88,384,0,1152
JAMMU & KASHMIR,2003,422,0,2,0,294,124,422,2,1266
JAMMU & KASHMIR,2004,436,0,0,4,340,88,436,4,1308
JAMMU & KASHMIR,2005,402,4,0,6,306,84,402,2,1206
JAMMU & KASHMIR,2006,500,2,16,0,386,96,500,0,1500
JAMMU & KASHMIR,2007,576,0,10,20,352,194,576,0,1728
JAMMU & KASHMIR,2008,438,0,0,6,310,118,438,4,1314
JAMMU & KASHMIR,2009,474,4,2,6,354,104,470,0,1414
JAMMU & KASHMIR,2010,490,0,2,14,374,100,490,0,1470
JHARKHAND,2001,1134,0,6,8,956,146,1134,18,3402
JHARKHAND,2002,1594,0,0,86,1352,156,1594,0,4782
JHARKHAND,2003,1424,0,12,20,1212,180,1424,0,4272
JHARKHAND,2004,1594,0,0,86,1352,156,1594,0,4782
JHARKHAND,2005,1506,2,14,24,768,686,1506,12,4518
JHARKHAND,2006,1598,4,90,396,838,266,1598,4,4794
JHARKHAND,2007,1710,10,30,16,1278,376,1710,0,5130
JHARKHAND,2008,1582,4,4,10,1324,238,1582,2,4746
JHARKHAND,2009,1438,0,0,10,988,432,1438,8,4314
JHARKHAND,2010,1546,0,0,0,1208,338,1546,0,4638
KARNATAKA,2001,586,0,126,124,246,42,586,48,1758
KARNATAKA,2002,584,2,20,12,436,108,584,6,1752
KARNATAKA,2003,642,32,94,134,270,76,642,36,1926
KARNATAKA,2004,582,0,30,24,402,96,582,30,1746
KARNATAKA,2005,686,0,26,42,468,122,686,28,2058
KARNATAKA,2006,800,4,32,92,536,90,800,46,2400
KARNATAKA,2007,872,14,64,64,594,96,872,40,2616
KARNATAKA,2008,892,2,48,104,602,94,892,42,2676
KARNATAKA,2009,1018,8,98,36,722,76,1018,78,3054
KARNATAKA,2010,1172,6,94,138,738,176,1172,20,3516
KERALA,2001,1124,2,92,252,612,128,1124,38,3372
KERALA,2002,998,6,58,264,530,90,998,50,2994
KERALA,2003,788,4,72,26,534,112,788,40,2364
KERALA,2004,960,12,72,208,516,114,960,38,2880
KERALA,2005,956,16,62,172,472,180,962,60,2880
KERALA,2006,1202,14,118,254,562,192,1210,70,3622
KERALA,2007,1024,10,90,230,524,126,1026,46,3076
KERALA,2008,1136,12,102,278,548,146,1140,54,3416
KERALA,2009,1136,20,90,314,506,140,1136,66,3408
KERALA,2010,1268,24,96,266,656,172,1272,58,3812
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2002,2,0,0,0,0,2,2,0,6
LAKSHADWEEP,2003,4,0,0,0,4,0,4,0,12
LAKSHADWEEP,2004,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2005,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2007,2,0,0,0,2,0,2,0,6
LAKSHADWEEP,2008,4,0,0,0,2,2,4,0,12
LAKSHADWEEP,2009,2,0,0,0,2,0,2,0,6
LAKSHADWEEP,2010,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001,5702,54,608,1114,2500,1254,5702,172,17106
MADHYA PRADESH,2002,5782,28,370,504,3098,1622,5782,160,17346
MADHYA PRADESH,2003,5476,14,462,810,3092,972,5476,126,16428
MADHYA PRADESH,2004,5750,28,560,676,3346,956,5750,184,17250
MADHYA PRADESH,2005,5842,52,588,948,2792,1258,5842,204,17526
MADHYA PRADESH,2006,5800,14,192,1420,2804,1324,5800,46,17400
MADHYA PRADESH,2007,6020,86,574,1384,2798,1050,6020,128,18060
MADHYA PRADESH,2008,5874,40,454,1192,3096,954,5874,138,17622
MADHYA PRADESH,2009,5996,22,582,1408,2810,1022,5996,152,17988
MADHYA PRADESH,2010,6270,24,608,1652,2728,1154,6272,106,18814
MAHARASHTRA,2001,2604,8,304,838,1006,270,2604,178,7812
MAHARASHTRA,2002,2704,14,260,638,1386,280,2704,126,8112
MAHARASHTRA,2003,2536,8,232,834,1082,238,2552,158,7640
MAHARASHTRA,2004,2776,10,266,838,1254,246,2784,170,8344
MAHARASHTRA,2005,3090,4,264,842,1470,348,3098,170,9286
MAHARASHTRA,2006,3000,8,254,890,1414,280,3012,166,9024
MAHARASHTRA,2007,2902,26,250,786,1318,336,2914,198,8730
MAHARASHTRA,2008,3116,10,270,882,1414,322,3134,236,9384
MAHARASHTRA,2009,2966,16,242,726,1426,314,2986,262,8938
MAHARASHTRA,2010,3198,22,268,1030,1350,336,3222,216,9642
MANIPUR,2001,40,2,2,8,18,4,40,6,120
MANIPUR,2002,28,0,0,0,28,0,28,0,84
MANIPUR,2003,36,2,0,14,20,0,36,0,108
MANIPUR,2004,62,0,0,4,40,10,62,8,186
MANIPUR,2005,50,0,2,0,28,14,50,6,150
MANIPUR,2006,80,0,8,18,34,12,84,12,248
MANIPUR,2007,40,0,4,0,28,4,40,4,120
MANIPUR,2008,76,0,16,16,24,2,76,18,228
MANIPUR,2009,62,2,10,4,18,18,62,10,186
MANIPUR,2010,68,0,4,16,40,6,68,2,204
MEGHALAYA,2001,52,0,4,8,28,6,52,6,156
MEGHALAYA,2002,76,0,18,44,8,0,76,6,228
MEGHALAYA,2003,80,2,10,30,28,2,80,8,240
MEGHALAYA,2004,108,0,16,18,68,0,108,6,324
MEGHALAYA,2005,126,0,20,64,16,8,126,18,378
MEGHALAYA,2006,148,0,22,46,46,6,148,28,444
MEGHALAYA,2007,164,0,24,38,72,4,186,48,536
MEGHALAYA,2008,176,0,34,28,94,8,176,12,528
MEGHALAYA,2009,224,6,46,38,82,14,224,38,672
MEGHALAYA,2010,298,0,68,52,82,34,302,66,902
MIZORAM,2001,104,0,0,60,28,16,104,0,312
MIZORAM,2002,152,18,2,2,104,26,152,0,456
MIZORAM,2003,108,0,6,12,44,44,108,2,324
MIZORAM,2004,40,0,0,0,24,16,40,0,120
MIZORAM,2005,74,0,0,60,14,0,74,0,222
MIZORAM,2006,144,0,38,18,64,10,144,14,432
MIZORAM,2007,166,4,46,36,20,14,166,46,498
MIZORAM,2008,154,0,8,10,98,20,154,18,462
MIZORAM,2009,166,0,6,6,84,60,166,10,498
MIZORAM,2010,184,8,34,30,58,34,184,20,552
NAGALAND,2001,34,0,0,16,12,6,34,0,102
NAGALAND,2002,34,0,2,6,22,0,34,4,102
NAGALAND,2003,28,0,0,0,28,0,28,0,84
NAGALAND,2004,36,0,0,0,34,0,36,2,108
NAGALAND,2005,34,0,0,0,24,4,34,6,102
NAGALAND,2006,46,0,2,8,22,2,46,12,138
NAGALAND,2007,26,0,0,6,12,8,26,0,78
NAGALAND,2008,38,0,0,0,38,0,38,0,114
NAGALAND,2009,44,0,0,0,34,10,44,0,132
NAGALAND,2010,32,0,2,4,12,12,32,2,96
ODISHA,2001,1580,0,18,594,804,148,1580,16,4740
ODISHA,2002,1382,0,18,0,1228,112,1382,24,4146
ODISHA,2003,1450,2,36,64,1172,166,1450,10,4350
ODISHA,2004,1540,0,4,4,1232,246,1540,54,4620
ODISHA,2005,1598,6,0,20,1272,264,1598,36,4794
ODISHA,2006,1970,4,102,54,1460,304,1970,46,5910
ODISHA,2007,1878,0,82,84,1318,376,1878,18,5634
ODISHA,2008,2226,24,54,48,1290,776,2226,34,6678
ODISHA,2009,2046,14,48,114,1494,364,2046,12,6138
ODISHA,2010,2050,10,34,88,1574,318,2050,26,6150
PUDUCHERRY,2001,18,0,4,4,2,2,18,6,54
PUDUCHERRY,2002,12,0,0,6,4,0,12,2,36
PUDUCHERRY,2003,4,0,0,0,2,0,4,2,12
PUDUCHERRY,2004,8,0,0,8,0,0,8,0,24
PUDUCHERRY,2005,12,0,0,4,6,0,12,2,36
PUDUCHERRY,2006,18,0,2,10,2,0,18,4,54
PUDUCHERRY,2007,18,0,0,4,12,0,18,2,54
PUDUCHERRY,2008,16,0,2,6,6,2,16,0,48
PUDUCHERRY,2009,2,0,0,2,0,0,2,0,6
PUDUCHERRY,2010,6,0,0,6,0,0,6,0,18
PUNJAB,2001,596,2,60,274,196,48,596,16,1788
PUNJAB,2002,598,2,24,64,426,66,598,16,1794
PUNJAB,2003,760,2,28,68,524,126,760,12,2280
PUNJAB,2004,780,0,24,70,524,148,780,14,2340
PUNJAB,2005,796,0,38,46,478,216,796,18,2388
PUNJAB,2006,884,0,38,52,638,128,884,28,2652
PUNJAB,2007,1038,6,76,142,604,158,1038,52,3114
PUNJAB,2008,1034,10,72,90,718,94,1038,54,3110
PUNJAB,2009,1022,2,96,262,516,86,1030,68,3082
PUNJAB,2010,1092,2,78,166,692,110,1094,46,3280
RAJASTHAN,2001,2098,14,88,458,1212,294,2098,32,6294
RAJASTHAN,2002,2102,10,16,50,1576,440,2102,10,6306
RAJASTHAN,2003,2100,14,22,62,1502,486,2100,14,6300
RAJASTHAN,2004,2076,14,82,172,1290,498,2076,20,6228
RAJASTHAN,2005,1986,32,88,362,1030,432,1986,42,5958
RAJASTHAN,2006,2170,10,160,394,1110,428,2170,68,6510
RAJASTHAN,2007,2476,16,158,572,1278,374,2480,82,7436
RAJASTHAN,2008,2710,20,232,550,1412,438,2710,58,8130
RAJASTHAN,2009,3038,8,110,576,1712,578,3040,56,9118
RAJASTHAN,2010,3142,72,144,554,1610,692,3146,74,9434
SIKKIM,2001,16,0,0,8,4,2,16,2,48
SIKKIM,2002,12,0,4,4,4,0,12,0,36
SIKKIM,2003,20,0,8,2,2,0,20,8,60
SIKKIM,2004,6,0,2,2,0,4,8,0,22
SIKKIM,2005,36,0,10,14,4,4,40,8,116
SIKKIM,2006,40,0,8,10,6,0,40,16,120
SIKKIM,2007,48,0,6,10,10,2,48,20,144
SIKKIM,2008,40,0,6,2,16,0,42,18,124
SIKKIM,2009,36,0,10,10,4,4,36,8,108
SIKKIM,2010,36,0,14,4,2,4,36,12,108
TAMIL NADU,2001,846,4,30,348,384,68,846,12,2538
TAMIL NADU,2002,1068,2,16,12,930,78,1068,30,3204
TAMIL NADU,2003,1114,2,28,42,720,298,1114,24,3342
TAMIL NADU,2004,1236,6,100,170,834,60,1238,68,3712
TAMIL NADU,2005,1142,0,56,116,792,120,1142,58,3426
TAMIL NADU,2006,914,4,68,136,550,110,914,46,2742
TAMIL NADU,2007,1046,2,82,178,692,70,1064,40,3174
TAMIL NADU,2008,1146,0,58,262,680,92,1146,54,3438
TAMIL NADU,2009,1192,4,68,240,780,44,1192,56,3576
TAMIL NADU,2010,1372,0,100,278,822,132,1374,42,4120
TRIPURA,2001,204,0,0,100,94,10,204,0,612
TRIPURA,2002,216,0,0,0,196,20,216,0,648
TRIPURA,2003,228,0,0,0,204,24,228,0,684
TRIPURA,2004,320,0,14,28,218,46,320,14,960
TRIPURA,2005,324,0,26,8,258,26,324,6,972
TRIPURA,2006,378,2,8,68,270,34,382,0,1142
TRIPURA,2007,314,0,28,32,226,22,314,6,942
TRIPURA,2008,408,0,46,130,192,8,408,32,1224
TRIPURA,2009,380,0,44,102,158,56,380,20,1140
TRIPURA,2010,476,0,54,122,186,76,476,38,1428
UTTAR PRADESH,2001,3916,0,244,812,2164,628,3916,68,11748
UTTAR PRADESH,2002,2830,0,222,542,1550,440,2830,76,8490
UTTAR PRADESH,2003,1822,4,150,414,954,234,1822,66,5466
UTTAR PRADESH,2004,2794,4,198,484,1676,326,2794,106,8382
UTTAR PRADESH,2005,2434,10,206,494,1312,324,2434,88,7302
UTTAR PRADESH,2006,2628,6,112,546,1560,368,2628,36,7884
UTTAR PRADESH,2007,3296,0,218,698,1820,534,3296,26,9888
UTTAR PRADESH,2008,3742,0,342,1370,1570,372,3742,88,11226
UTTAR PRADESH,2009,3518,0,832,332,1822,446,3518,86,10554
UTTAR PRADESH,2010,3126,0,324,492,1724,500,3126,86,9378
UTTARAKHAND,2001,148,0,14,32,76,14,148,12,444
UTTARAKHAND,2002,178,0,8,4,132,30,178,4,534
UTTARAKHAND,2003,214,0,8,12,166,26,214,2,642
UTTARAKHAND,2004,230,0,12,18,144,52,230,4,690
UTTARAKHAND,2005,266,0,6,24,190,40,266,6,798
UTTARAKHAND,2006,294,0,14,30,212,36,294,2,882
UTTARAKHAND,2007,234,0,18,14,148,52,234,2,702
UTTARAKHAND,2008,174,0,8,10,128,28,174,0,522
UTTARAKHAND,2009,222,0,6,6,178,30,222,2,666
UTTARAKHAND,2010,242,0,6,10,184,38,242,4,726
WEST BENGAL,2001,1418,0,6,10,1188,206,1418,8,4254
WEST BENGAL,2002,1518,0,6,16,1104,382,1518,10,4554
WEST BENGAL,2003,2004,4,14,8,1652,316,2004,10,6012
WEST BENGAL,2004,2950,2,6,28,1930,980,2950,4,8850
WEST BENGAL,2005,3372,2,0,6,2902,456,3372,6,10116
WEST BENGAL,2006,3462,0,10,26,2954,468,3462,4,10386
WEST BENGAL,2007,4212,10,84,72,2956,1062,4212,28,12636
WEST BENGAL,2008,4526,2,106,108,3258,1008,4526,44,13578
WEST BENGAL,2009,4672,0,36,170,3670,784,4672,12,14016
WEST BENGAL,2010,4622,0,44,102,3558,918,4622,0,13866
